Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type,Hashtags
claudiomkd,b'Claudio M. Camacho \xe2\x9c\xa8',8/16/2019 13:49,b'RT MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #futureofwork #4IR #digitaltransformation #robotics #datascience #dataanalytics &gt;&gt;&gt; https://t.co/qSsEexqg2h https://t.co/rI3XI3smhz #marketing #digitalmark\xe2\x80\xa6',"b'Helsinki, Finland'",1,b'IFTTT', digital talent enterprise ai machinelearning iot futureofwork 4IR digitaltransformation robotics datascience dataanalytics marketing digitalmark
DxLatest,b'DX Latest',8/16/2019 13:43,b'RT @SoumikRoy: via MikeQuindazzi: RT MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; MikeQuindazzi &gt;&gt;&gt;  #ai #mach\xe2\x80\xa6',b'london',1,b'Twitter Web App', digital talent enterprise ai
KeyNode,b'The KEY In The North',8/16/2019 13:40,b'RT MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #futureofwork #4IR #digitaltransformation #robotics #datascience #dataanalytics &gt;&gt;&gt; https://t.co/cLqtV7Z6Zt https://t.co/h0RkP1nMGb',b'A New Wave',0,b'IFTTT', digital talent enterprise ai machinelearning iot futureofwork 4IR digitaltransformation robotics datascience dataanalytics
girardmaxime33,b'Max \xf0\x9f\x87\xab\xf0\x9f\x87\xb7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',8/16/2019 13:38,b'RT MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #futureofwork #4IR #digitaltransformation #robotics #datascience #dataanalytics &gt;&gt;&gt; https://t.co/vEezeUaeya https://t.co/Pqce9cbuP4',"b'Bordeaux, France'",0,b'IFTTT', digital talent enterprise ai machinelearning iot futureofwork 4IR digitaltransformation robotics datascience dataanalytics
SoumikRoy,b'Soumik Roy',8/16/2019 13:35,b'via MikeQuindazzi: RT MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #futureofwork #4IR #digitaltransformation #robotics #datascience #dataanalytics &gt;&gt;&gt; https://t.co/5k8dEDvYuj https://t.co/fki1rChVI2',b'Solitude Park',1,b'IFTTT', digital talent enterprise ai machinelearning iot futureofwork 4IR digitaltransformation robotics datascience dataanalytics
MikeQuindazzi,b'Mike Quindazzi \xe2\x9c\xa8',8/16/2019 13:35,b'RT @MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #futureofwork #\xe2\x80\xa6',"b'Los Angeles, CA'",34,b'Twitter for iPhone', digital talent enterprise ai machinelearning iot futureofwork
DME_Jun,b'DME Intelligence',8/16/2019 11:55,b'RT @HeartIn_net: Medical education and training game maker Level Ex is tackling the final frontier in its latest project for NASA. #Aim2 #f\xe2\x80\xa6',"b'Boston, MA'",1,b'DME Intelligence_Jun', Aim2
DME_Jun,b'DME Intelligence',8/16/2019 10:40,"b'RT @HeartIn_net: (Video) Investments in social care will reduce the cost of medical care, says , CEO of Alliance for Better Health. #fitnes\xe2\x80\xa6'","b'Boston, MA'",2,b'DME Intelligence_Jun',nan
IndustryAi,b'AI Today',8/16/2019 10:39,"b'RT @HeartIn_net: (Video) Investments in social care will reduce the cost of medical care, says , CEO of Alliance for Better Health. #fitnes\xe2\x80\xa6'",b'',2,b'AI Industry News',nan
DME_Jun,b'DME Intelligence',8/16/2019 10:25,b'RT @HeartIn_net: Superconducting neurons could match the power efficiency of the brain  #fitness #health #training #healthy #healthylifesty\xe2\x80\xa6',"b'Boston, MA'",1,b'DME Intelligence_Jun', fitness health training healthy
