User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
Gaurav Jain अहिंसा परमो धर्म,7/21/2019 12:42," best wishes for chandrayaan2 mission, with hardworking of expertise team, best wishes and prayers of 130 crore indian is on the way 🙏, india is going to be super power elite club within less than 24 hour gslvmkiii isro","Gudli, Mavli, Udaipur, India",0,0.5416666666666667,0.3333333333333333
🇮🇳अखंड भारत🇮🇳🚩भगवा भारत 🚩,7/21/2019 12:42,best wishes my chandrayaan2 moonlandinglive ,"New Delhi, India",1,1.0,0.3
India Today,7/21/2019 12:39,. is all set to go ahead with the chandrayaan2 mission. watch this report. itvideo more videos: ,India,9,0.5,0.5
ISRO 🇮🇳,7/21/2019 12:38, chandrayaan2 mission from sriharikota to moon... meanwhile moon planing neehayaan143 to reach ,Nijaniki duranga,0,0.0,0.0
Ankit Paradkar 🔥,7/21/2019 12:37, time to set a milestone with missionmangal and chandrayaan2 launching,nan,0,0.0,0.0
Priyanshu Dongre,7/21/2019 12:35, may chandrayaan2 success,nan,0,0.3,0.0
DataBaaz,7/21/2019 12:32,here is a bit of history. india’s first lunar mission was chandrayaan-1 in 2008. it did not land on the lunar surface but helped confirm the presence of water on the moon. chandrayaan2 hopes to corroborate it by exploring the shadowed south polar region of the moon. isro ,"Mumbai, India",0,0.08333333333333334,0.29166666666666663
Zee Business,7/21/2019 12:30,isro set for second date with moon! check chandrayaan2 photos before launch ,India,8,0.0,0.0
Siddhi Ajagaonkar,7/21/2019 12:28,hello are you telecasting launch of chandrayaan2 live tomorrow? we would really love to see this one 😊,"Miraj, Maharashtra",0,0.3181818181818182,0.55
IndSamachar,7/21/2019 12:24,countdown for india’s second lunar mission chandrayaan-2 set to begin this evening chandrayaan2 countdown,India,0,0.0,0.0
Kunal,7/21/2019 12:21,"chandrayaan-2 to take off at tomorrow afternoon. indias second lunar mission chandrayaan2 is set to begin this evening.the launch of mission is to be scheduled at tommorow afternoon at 02:43pm. from satish dhawan sapce centre , shriharikota. isro india ",nan,0,0.0,0.0
DD Chandana,7/21/2019 12:19,gslv-mk iii - m1 / chandrayaan-2 mission curtain raiser watch it on dd national at 9:25am and 10:55am tomorrow (22/07/19) gslvmkiii chandrayaan2 isro chandrayaanmission ,BANGALORE,0,0.0,0.0
THE WEEK,7/21/2019 12:18,chandrayaan2 flight schedule tweaked for new launch ,India,0,0.13636363636363635,0.45454545454545453
Karthik journalist,7/21/2019 12:15,chandrayaan2 countdown starts from 6.43 pm today.. missionmoon2,chennai,0,0.0,0.0
The New Indian Express,7/21/2019 12:15,. successfully completed the launch rehearsal of the chandrayaan2 mission which is slated to launch on july 22 from satish dhawan space center in sriharikota. ,Chennai,2,0.325,0.525
National Herald,7/21/2019 12:15,"the gslvmkiii rocket with chandrayaan2 spacecraft was originally scheduled to take off on july 15, but was postponed after a technical glitch ","New Delhi, India",10,0.1875,0.425
The Quint,7/21/2019 12:10,the countdown for tomorrow's chandrayaan2 mission launch will start in 3 minutes! ,nan,4,0.0,0.0
The Tribune,7/21/2019 12:10,india gets ready to launch chandrayaan2 via ,Chandigarh,1,0.2,0.5
Maya,7/21/2019 12:09,"arnab carries indiaonthemoon for 3 consecutive days on last week.the launch was aborted due to technical failure. here he goes again w/ same rant today. ain’t you familiar arnab w/ the saying काम पूरा होने से पहले जशन नहीं मनाते, नज़र लग जाती है 😉 chandrayaan2",Most likely at some airport ,0,-0.011111111111111118,0.24444444444444444
Shubham Samant,7/21/2019 12:08,"here's some exclusive, behind-the-scenes footage of the mission's various components coming together - tell us what you think about it in the comments below. chandrayaan2 gslvmkiii isro ", India,0,0.0,0.5
Deepak Bhati,7/21/2019 12:08,chandrayaan2 is ready to relaunch chandrayaan2 one again all the best ,Greater Noida ,0,0.6,0.4
Podhigai,7/21/2019 12:03,"promo chandrayaan2 launch rescheduled on 22nd july, 2019 isro gslvmkiii-m1 doordarshan ",India,0,0.0,0.0
Animesh G Bhaya,7/21/2019 12:01,in my industry also we do a rehearsal before the final take... let's do the 'action' 🎬 now with a super successful 'cut'!!! best wishes 👍 countdownbegins chandrayaan2 🌙 gslvmkiii ,Mumbai,0,0.4866666666666667,0.6033333333333333
Dr. GSK Velu,7/21/2019 12:00,"this will be a momentous event for me as an indian. has always made ground-breaking progress to position india as a key player in space technology, innovation, and exploration at the international level. chandrayaan2 ","Chennai, India",0,0.0,0.5
Mukul Pandey,7/21/2019 11:57,chandrayaan2 there is one nishant verma who says karnataka politics is guiding launch of chandrayaan ,nan,0,0.0,0.0
Vidya Krithivasan,7/21/2019 11:57,chandrayaan2 countdown to start at 6.43 pm today!!!! yaaaaayy!!!,"Chennai, India",1,0.0,0.0
